id,created_at,user_id,screen_name,text
N/A,"""2018-10-22T07:01:48.000Z""","""ADFifteen""",N/A,"""Yes this display is just above 720p, but that\u2019s just above the resolution as my iPhone 7, and that allowed me to play 1080p content through YouTube. This phones screen will be amazing as always but everyone has to moan that it\u2019s not 1080. Apple have to save money somewhere and it\u2019s the screen. But it\u2019s still gonna be better than everyone thinks."""
N/A,"""2018-10-22T05:36:38.000Z""","""Ryan Hudgens""",N/A,"""Calling it now, iPhone XR will release in green in March next year."""
N/A,"""2018-10-22T04:04:44.000Z""","""Cordero Dorsette""",N/A,"""That phone will be a hot seller"""
N/A,"""2018-10-22T01:12:38.000Z""","""Not Reet""",N/A,"""Should I purchase an iPhone XR or an used iPhone X?"""
N/A,"""2018-10-22T01:06:19.000Z""","""Joal Blo""",N/A,"""The most amazing thing in the world to me about Apple is that iPhone users will make every excuse for a device's shortcomings and still say is the best, even when that ISH doesn't work. AMAZING! I like Apple products too but c'mon guys, at least be honest about their bull.\n\nAlso, most of them think of the Android experience, without any personal experience, as slow and fragmented. It just means they're repeating things from 7 years ago and have not real idea of what the world they're talking about."""
N/A,"""2018-10-22T01:04:38.000Z""","""Joal Blo""",N/A,"""Apple could take a brick and say, It's the most advanced iPhone we've ever made and people would still stand in line to buy that ISH!!!"""
N/A,"""2018-10-21T20:35:13.000Z""","""Janis Bugenhagen""",N/A,"""On my iPhone 8 i Van Look 1080p Videos ON THE XR NOT ?"""
N/A,"""2018-10-21T18:19:50.000Z""","""Juliet Burruel""",N/A,"""Why not just get the original X, with a lower price, instead of this?"""
N/A,"""2018-10-21T16:13:35.000Z""","""Dennis Bara\u0107""",N/A,"""I don't know which color to buy :("""
N/A,"""2018-10-21T16:08:46.000Z""","""Roland Gonzalez""",N/A,"""u have the best reviews even when u rushing lol"""
N/A,"""2018-10-21T15:35:51.000Z""","""Hppy Nut""",N/A,"""The reason why it's cheaper is because they didn't have to pay extra to ask Samsung to make the screens for them"""
N/A,"""2018-10-21T15:31:59.000Z""","""Hppy Nut""",N/A,"""Within the iPhone world yeah. But there is a world out there"""
N/A,"""2018-10-21T08:55:16.000Z""","""christschool""",N/A,"""I just pre-ordered the yellow, lol.  I chose that color because it will be easier to spot if I lay it down somewhere and forget where it was.  If I played games on my phone, I'd go for the higher resolution one, but since I don't, it won't matter to me."""
N/A,"""2018-10-21T06:42:38.000Z""","""Idk idk""",N/A,"""Iphone XS: Iphone Xtra Scam"""
N/A,"""2018-10-21T06:17:23.000Z""","""Chimpino Vlogs""",N/A,"""This phone is for old people."""
N/A,"""2018-10-21T03:50:46.000Z""","""Kaleb Ward""",N/A,"""So I still have a 7 and was gonna upgrade this year, I don\u2019t want to give Apple my first born child for a Xs so should I get the Xr or just a regular X"""
id,created_at,user_id,screen_name,text
N/A,"""2018-10-21T03:44:58.000Z""","""trinikenshin""",N/A,"""You know a phone ain't got shit when MKBHD has to make a whole video about the colours....most of which you won't see when you wrap it up in a case."""
N/A,"""2018-10-21T02:05:17.000Z""","""Judy Strauss""",N/A,"""i think i heard him say that the xr has the same ram as the other two new phones.  oh how i wish that were the case.  i believe the xr has 3g of ram while the xs and xs max have 4g.  any responses?"""
N/A,"""2018-10-21T01:53:14.000Z""","""Famossambo""",N/A,"""Someone had to say it. \u201cColor\u201d is spelt Colour fight me"""
N/A,"""2018-10-21T01:49:05.000Z""","""HazerTheBasher""",N/A,"""Why not gold"""
N/A,"""2018-10-21T01:13:44.000Z""","""Gaurav Ramasani""",N/A,"""The \u201cR\u201d stands for Rainbow\nExposed."""
N/A,"""2018-10-20T22:51:49.000Z""","""Melody Lin""",N/A,"""I\u2019m debating between black an red. SOMEONE HELPPPP. Give me on opinion!!"""
N/A,"""2018-10-20T20:35:33.000Z""","""Tiizox""",N/A,"""Iphone x r\u00e9volution"""
N/A,"""2018-10-20T19:45:22.000Z""","""Gandek""",N/A,"""Black + red dbrand skin on the back that way you don\u2019t have to see that ugly border sticking out"""
N/A,"""2018-10-20T17:25:47.000Z""","""Boujee Studios - Gaming Minecraft - ASMR""",N/A,"""I still read these comments, but I'm still getting the XR..."""
N/A,"""2018-10-20T16:57:07.000Z""","""Gordon Jeffrey""",N/A,"""Red! Red! Red! Damn sexy!!!!"""
N/A,"""2018-10-20T16:40:10.000Z""","""Roda Rolla Daaa""",N/A,"""R stands for Refund or Regrets"""
N/A,"""2018-10-20T14:58:09.000Z""","""CeciVizz""",N/A,"""No 1080p ?? \ud83d\ude44"""
N/A,"""2018-10-20T13:32:02.000Z""","""Lava Yuki""",N/A,"""Can't decide on a colour, I like blue and coral. I've always had black or space grey until now and eager to upgrade my old 6S to this"""
N/A,"""2018-10-20T11:21:25.000Z""","""\u05e2\u05d5\u05de\u05e8  \u05dc\u05d5\u05d9""",N/A,"""OMG the RED product \ud83d\ude0d"""
N/A,"""2018-10-20T10:51:27.000Z""","""vi sa""",N/A,"""such a biased shit from dumb poor sheep payed by crApple \nand even after this retard spent half the video is on the COLORS of the phone LMAO\nkeep disgrace yourself ass clown  \ud83d\ude01"""
N/A,"""2018-10-20T10:29:16.000Z""","""Switch Back""",N/A,"""So we\u2019re all gunna ignore the fact that the iPhone 8 can do 1080p videos still and has a lower resolution then the R \nBut nah fam we\u2019re gunna ignore that because it\u2019s killing off the 8 badly lol"""
N/A,"""2018-10-20T09:31:42.000Z""","""The12th Unique_Social""",N/A,"""I am a Apple FanBoy and am watching this on an iPhone 6 running iOS 12.0.1 in 1080p. I must say I did not like Apple doing that !"""
N/A,"""2018-10-20T08:46:13.000Z""","""The Aussie Ninja""",N/A,"""TL;DR, they more or less just re did the C (only for the 10s) but with a worse camera and better materials."""
N/A,"""2018-10-20T07:56:07.000Z""","""Claudiu B\u00ee\u021b\u0103""",N/A,"""Seriously? Apple pushes his limits here. They try to sell a phone with 6.1 inch display and with 720p resolution in 2018? Well, you need to be an idiot to buy this expensive and outdated phone for 2018. All the colours look cheap, and they still have a notch and thick bezels...So, think well before..."""
